Iteration,card name,x (choice),y (pos)
1,mawile,1,1
1,bronzor,2,3
1,karrablast,3,2
1,drilbur,4,4
1,dugtrio,5,5
2,petilil,1,5
2,trevenant,2,4
2,baltoy,3,1
2,nihilego,4,3
2,beastite,5,2
3,escavalier,1,5
3,excadrill,2,4
3,wonderglass,3,1
3,packglass,4,3
3,shop,5,2
4,stufful,1,5
4,dartrix,2,2
4,dugtrioex,3,1
4,aron,4,4
4,oranguru,5,3
5,bronzor,1,3
5,karrablast,2,1
5,drilbur,3,4
5,dugtrio,4,5
5,diglett,5,2
6,paras,1,1
6,cottonee,2,5
6,heatmor,3,3
6,clefable,4,4
6,arcanineex,5,2
7,bronzong,1,1
7,excadrill,2,4
7,wonderglass,3,2
7,packglass,4,5
7,shop,5,3
8,karrablast,1,1
8,drilbur,2,5
8,dugtrio,3,2
8,diglett,4,4
8,mawile,5,3
9,mantine,1,1
9,shinx,2,4
9,sandyghast,3,3
9,pheromosa,4,2
9,silvally,5,5
10,drilbur,1,3
10,dugtrio,2,2
10,diglett,3,4
10,mawile,4,1
10,bronzor,5,5
11,rowlet,1,2
11,dugtrioex,2,3
11,aron,3,5
11,ferroseed,4,4
11,stoutland,5,1
12,bronzor,1,4
12,karrablast,2,5
12,drilbur,3,1
12,dugtrio,4,2
12,diglett,5,3
13,diglett,1,1
13,mawile,2,5
13,bronzor,3,4
13,karrablast,4,2
13,drilbur,5,3
14,zeraora,1,3
14,rowlet,2,4
14,rowlet,3,5
14,krokorok,4,2
14,nihilego,5,1
15,poipole,1,5
15,carvanha,2,3
15,clefable,3,1
15,clefable,4,2
15,oranguru,5,4
16,xurkitree,1,2
16,luxio,2,5
16,sandyghast,3,3
16,lilipup,4,4
16,lusamine,5,1
17,liligant,1,1
17,carvanha,2,2
17,clefairy,3,5
17,electricalcord,4,3
17,beastite,5,4
18,baltoy,1,5
18,rockruff,2,2
18,diglett,3,1
18,aggron,4,3
18,beastwall,5,4
19,exeggute,1,3
19,bruxish,2,2
19,heliolisk,3,5
19,grumpig,4,4
19,mukex,5,1
20,mawile,1,5
20,bronzor,2,3
20,karrablast,3,1
20,drilbur,4,4
20,dugrtrio,5,2